code,id,name
AA0,AA0,All items - old base
AA0R,AA0R,Purchasing power of the consumer dollar - old base
SA0,SA0,All items
SA0E,SA0E,Energy
SA0L1,SA0L1,All items less food
SA0L12,SA0L12,All items less food and shelter
SA0L12E,SA0L12E,"All items less food, shelter, and energy"
SA0L12E4,SA0L12E4,"All items less food, shelter, energy, and used cars and trucks"
SA0L1E,SA0L1E,All items less food and energy
SA0L2,SA0L2,All items less shelter
SA0L5,SA0L5,All items  less medical care
SA0LE,SA0LE,All items less energy
SA0R,SA0R,Purchasing power of the consumer dollar
SA311,SA311,Apparel less footwear
SAA,SAA,Apparel
SAA1,SAA1,Men's and boys' apparel
SAA2,SAA2,Women's and girls' apparel
SAC,SAC,Commodities
SACE,SACE,Energy commodities
SACL1,SACL1,Commodities less food
SACL11,SACL11,Commodities less food and beverages
SACL1E,SACL1E,Commodities less food and energy commodities
SACL1E4,SACL1E4,"Commodities less food, energy, and used cars and trucks"
SAD,SAD,Durables
SAE,SAE,Education and communication
SAE1,SAE1,Education
SAE2,SAE2,Communication
SAE21,SAE21,Information and information processing
SAEC,SAEC,Education and communication commodities
SAES,SAES,Education and communication services
SAF,SAF,Food and beverages
SAF1,SAF1,Food
SAF11,SAF11,Food at home
SAF111,SAF111,Cereals and bakery products
SAF112,SAF112,"Meats, poultry, fish, and eggs"
SAF1121,SAF1121,"Meats, poultry, and fish"
SAF11211,SAF11211,Meats
SAF113,SAF113,Fruits and vegetables
SAF1131,SAF1131,Fresh fruits and vegetables
SAF114,SAF114,Nonalcoholic beverages and beverage materials
SAF115,SAF115,Other food at home
SAF116,SAF116,Alcoholic beverages
SAG,SAG,Other goods and services
SAG1,SAG1,Personal care
SAGC,SAGC,Other goods
SAGS,SAGS,Other personal services
SAH,SAH,Housing
SAH1,SAH1,Shelter
SAH2,SAH2,Fuels and utilities
SAH21,SAH21,Household energy
SAH3,SAH3,Household furnishings and operations
SAH31,SAH31,Household furnishings and supplies
SAM,SAM,Medical care
SAM1,SAM1,Medical care commodities
SAM2,SAM2,Medical care services
SAN,SAN,Nondurables
SAN1D,SAN1D,Domestically produced farm food
SANL1,SANL1,Nondurables less food
SANL11,SANL11,Nondurables less food and beverages
SANL113,SANL113,"Nondurables less food, beverages, and apparel"
SANL13,SANL13,Nondurables less food and apparel
SAR,SAR,Recreation
SARC,SARC,Recreation commodities
SARS,SARS,Recreation services
SAS,SAS,Services
SAS24,SAS24,Utilities and public transportation
SAS2RS,SAS2RS,Rent of shelter
SAS367,SAS367,Other services
SAS4,SAS4,Transportation services
SASL2RS,SASL2RS,Services less rent of shelter
SASL5,SASL5,Services less medical care services
SASLE,SASLE,Services less energy services
SAT,SAT,Transportation
SAT1,SAT1,Private transportation
SATCLTB,SATCLTB,Transportation commodities less motor fuel
SEAA,SEAA,Men's apparel
SEAA01,SEAA01,"Men's suits, sport coats, and outerwear"
SEAA02,SEAA02,Men's furnishings
SEAA03,SEAA03,Men's shirts and sweaters
SEAA04,SEAA04,Men's pants and shorts
SEAB,SEAB,Boys' apparel
SEAC,SEAC,Women's apparel
SEAC01,SEAC01,Women's outerwear
SEAC02,SEAC02,Women's dresses
SEAC03,SEAC03,Women's suits and separates
SEAC04,SEAC04,"Women's underwear, nightwear, sportswear and accessories"
SEAD,SEAD,Girls' apparel
SEAE,SEAE,Footwear
SEAE01,SEAE01,Men's footwear
SEAE02,SEAE02,Boys' and girls' footwear
SEAE03,SEAE03,Women's footwear
SEAF,SEAF,Infants' and toddlers' apparel
SEAG,SEAG,Jewelry and watches
SEAG01,SEAG01,Watches
SEAG02,SEAG02,Jewelry
SEEA,SEEA,Educational books and supplies
SEEB,SEEB,"Tuition, other school fees, and childcare"
SEEB01,SEEB01,College tuition and fees
SEEB02,SEEB02,Elementary and high school tuition and fees
SEEB03,SEEB03,Child care and nursery school
SEEB04,SEEB04,Technical and business school tuition and fees
SEEC,SEEC,Postage and delivery services
SEEC01,SEEC01,Postage
SEEC02,SEEC02,Delivery services
SEED,SEED,Telephone services
SEED03,SEED03,Wireless telephone services
SEED04,SEED04,Land-line telephone services
SEEE,SEEE,"Information technology, hardware and services"
SEEE01,SEEE01,Personal computers and peripheral equipment
SEEE02,SEEE02,Computer software and accessories
SEEE03,SEEE03,Internet services and electronic information providers
SEEE04,SEEE04,"Telephone hardware, calculators, and other consumer information items"
SEEEC,SEEEC,Information technology commodities
SEFA,SEFA,Cereals and cereal products
SEFA01,SEFA01,Flour and prepared flour mixes
SEFA02,SEFA02,Breakfast cereal
SEFA03,SEFA03,"Rice, pasta, cornmeal"
SEFB,SEFB,Bakery products
SEFB01,SEFB01,Bread
SEFB02,SEFB02,"Fresh biscuits, rolls, muffins"
SEFB03,SEFB03,"Cakes, cupcakes, and cookies"
SEFB04,SEFB04,Other bakery products
SEFC,SEFC,Beef and veal
SEFC01,SEFC01,Uncooked ground beef
SEFC02,SEFC02,Uncooked beef roasts
SEFC03,SEFC03,Uncooked beef steaks
SEFC04,SEFC04,Uncooked other beef and veal
SEFD,SEFD,Pork
SEFD01,SEFD01,"Bacon, breakfast sausage, and related products"
SEFD02,SEFD02,Ham
SEFD03,SEFD03,Pork chops
SEFD04,SEFD04,"Other pork including roasts, steaks, and ribs"
SEFE,SEFE,Other meats
SEFF,SEFF,Poultry
SEFF01,SEFF01,Chicken
SEFF02,SEFF02,Other uncooked poultry including turkey
SEFG,SEFG,Fish and seafood
SEFG01,SEFG01,Fresh fish and seafood
SEFG02,SEFG02,Processed fish and seafood
SEFH,SEFH,Eggs
SEFJ,SEFJ,Dairy and related products
SEFJ01,SEFJ01,Milk
SEFJ02,SEFJ02,Cheese and related products
SEFJ03,SEFJ03,Ice cream and related products
SEFJ04,SEFJ04,Other dairy and related products
SEFK,SEFK,Fresh fruits
SEFK01,SEFK01,Apples
SEFK02,SEFK02,Bananas
SEFK03,SEFK03,Citrus fruits
SEFK04,SEFK04,Other fresh fruits
SEFL,SEFL,Fresh vegetables
SEFL01,SEFL01,Potatoes
SEFL02,SEFL02,Lettuce
SEFL03,SEFL03,Tomatoes
SEFL04,SEFL04,Other fresh vegetables
SEFM,SEFM,Processed fruits and vegetables
SEFM01,SEFM01,Canned fruits and vegetables
SEFM02,SEFM02,Frozen fruits and vegetables
SEFM03,SEFM03,Other processed fruits and vegetables including dried
SEFN,SEFN,Juices and nonalcoholic drinks
SEFN01,SEFN01,Carbonated drinks
SEFN02,SEFN02,Frozen noncarbonated juices and drinks
SEFN03,SEFN03,Nonfrozen noncarbonated juices and drinks
SEFP,SEFP,Beverage materials including coffee and tea
SEFP01,SEFP01,Coffee
SEFP02,SEFP02,Other beverage materials including tea
SEFR,SEFR,Sugar and sweets
SEFR01,SEFR01,Sugar and artificial sweeteners
SEFR02,SEFR02,Candy and chewing gum
SEFR03,SEFR03,Other sweets
SEFS,SEFS,Fats and oils
SEFS01,SEFS01,Butter and margarine
SEFS02,SEFS02,Salad dressing
SEFS03,SEFS03,Other fats and oils including peanut butter
SEFT,SEFT,Other foods
SEFT01,SEFT01,Soups
SEFT02,SEFT02,Frozen and freeze dried prepared foods
SEFT03,SEFT03,Snacks
SEFT04,SEFT04,"Spices, seasonings, condiments, sauces"
SEFT05,SEFT05,Baby food
SEFT06,SEFT06,Other miscellaneous foods
SEFV,SEFV,Food away from home
SEFV01,SEFV01,Full service meals and snacks
SEFV02,SEFV02,Limited service meals and snacks
SEFV03,SEFV03,Food at employee sites and schools
SEFV04,SEFV04,Food from vending machines and mobile vendors
SEFV05,SEFV05,Other food away from home
SEFW,SEFW,Alcoholic beverages at home
SEFW01,SEFW01,"Beer, ale, and other malt beverages at home"
SEFW02,SEFW02,Distilled spirits at home
SEFW03,SEFW03,Wine at home
SEFX,SEFX,Alcoholic beverages away from home
SEGA,SEGA,Tobacco and smoking products
SEGA01,SEGA01,Cigarettes
SEGA02,SEGA02,Tobacco products other than cigarettes
SEGB,SEGB,Personal care products
SEGB01,SEGB01,"Hair, dental, shaving, and miscellaneous personal care products"
SEGB02,SEGB02,"Cosmetics, perfume, bath, nail preparations and implements"
SEGC,SEGC,Personal care services
SEGC01,SEGC01,Haircuts and other personal care services
SEGD,SEGD,Miscellaneous personal services
SEGD01,SEGD01,Legal services
SEGD02,SEGD02,Funeral expenses
SEGD03,SEGD03,Laundry and dry cleaning services
SEGD04,SEGD04,Apparel services other than laundry and dry cleaning
SEGD05,SEGD05,Financial services
SEGE,SEGE,Miscellaneous personal goods
SEHA,SEHA,Rent of primary residence
SEHB,SEHB,Lodging away from home
SEHB01,SEHB01,"Housing at school, excluding board"
SEHB02,SEHB02,Other lodging away from home including hotels and motels
SEHC,SEHC,Owners' equivalent rent of residences
SEHC01,SEHC01,Owners' equivalent rent of primary residence
SEHD,SEHD,Tenants' and household insurance
SEHE,SEHE,Fuel oil and other fuels
SEHE01,SEHE01,Fuel oil
SEHE02,SEHE02,"Propane, kerosene, and firewood"
SEHF,SEHF,Energy services
SEHF01,SEHF01,Electricity
SEHF02,SEHF02,Utility (piped) gas service
SEHG,SEHG,Water and sewer and trash collection services
SEHG01,SEHG01,Water and sewerage maintenance
SEHG02,SEHG02,Garbage and trash collection
SEHH,SEHH,Window and floor coverings and other linens
SEHH01,SEHH01,Floor coverings
SEHH02,SEHH02,Window coverings
SEHH03,SEHH03,Other linens
SEHJ,SEHJ,Furniture and bedding
SEHJ01,SEHJ01,Bedroom furniture
SEHJ02,SEHJ02,"Living room, kitchen, and dining room furniture"
SEHJ03,SEHJ03,Other furniture
SEHK,SEHK,Appliances
SEHK01,SEHK01,Major appliances
SEHK02,SEHK02,Other appliances
SEHL,SEHL,Other household equipment and furnishings
SEHL01,SEHL01,"Clocks, lamps, and decorator items"
SEHL02,SEHL02,Indoor plants and flowers
SEHL03,SEHL03,Dishes and flatware
SEHL04,SEHL04,Nonelectric cookware and tableware
SEHM,SEHM,"Tools, hardware, outdoor equipment and supplies"
SEHM01,SEHM01,"Tools, hardware and supplies"
SEHM02,SEHM02,Outdoor equipment and supplies
SEHN,SEHN,Housekeeping supplies
SEHN01,SEHN01,Household cleaning products
SEHN02,SEHN02,Household paper products
SEHN03,SEHN03,Miscellaneous household products
SEHP,SEHP,Household operations
SEHP01,SEHP01,Domestic services
SEHP02,SEHP02,Gardening and lawncare services
SEHP03,SEHP03,"Moving, storage, freight expense"
SEHP04,SEHP04,Repair of household items
SEMC,SEMC,Professional services
SEMC01,SEMC01,Physicians' services
SEMC02,SEMC02,Dental services
SEMC03,SEMC03,Eyeglasses and eye care
SEMC04,SEMC04,Services by other medical professionals
SEMD,SEMD,Hospital and related services
SEMD01,SEMD01,Hospital services
SEMD02,SEMD02,Nursing homes and adult day services
SEMD03,SEMD03,Care of invalids and elderly at home
SEME,SEME,Health insurance
SEMF,SEMF,Medicinal drugs
SEMF01,SEMF01,Prescription drugs
SEMF02,SEMF02,Nonprescription drugs
SEMG,SEMG,Medical equipment and supplies
SERA,SERA,Video and audio
SERA01,SERA01,Televisions
SERA02,SERA02,Cable and satellite television service
SERA03,SERA03,Other video equipment
SERA04,SERA04,"Video discs and other media, including rental of video"
SERA05,SERA05,Audio equipment
SERA06,SERA06,Recorded music and music subscriptions
SERAC,SERAC,Video and audio products
SERAS,SERAS,Video and audio services
SERB,SERB,"Pets, pet products and services"
SERB01,SERB01,Pets and pet products
SERB02,SERB02,Pet services including veterinary
SERC,SERC,Sporting goods
SERC01,SERC01,Sports vehicles including bicycles
SERC02,SERC02,Sports equipment
SERD,SERD,Photography
SERD01,SERD01,Photographic equipment and supplies
SERD02,SERD02,Photographers and photo processing
SERE,SERE,Other recreational goods
SERE01,SERE01,Toys
SERE02,SERE02,"Sewing machines, fabric and supplies"
SERE03,SERE03,Music instruments and accessories
SERF,SERF,Other recreation services
SERF01,SERF01,"Club membership for shopping clubs, fraternal, or other organizations, or participant sports fees"
SERF02,SERF02,Admissions
SERF03,SERF03,Fees for lessons or instructions
SERG,SERG,Recreational reading materials
SERG01,SERG01,Newspapers and magazines
SERG02,SERG02,Recreational books
SETA,SETA,New and used motor vehicles
SETA01,SETA01,New vehicles
SETA02,SETA02,Used cars and trucks
SETA03,SETA03,Leased cars and trucks
SETA04,SETA04,Car and truck rental
SETB,SETB,Motor fuel
SETB01,SETB01,Gasoline (all types)
SETB02,SETB02,Other motor fuels
SETC,SETC,Motor vehicle parts and equipment
SETC01,SETC01,Tires
SETC02,SETC02,Vehicle accessories other than tires
SETD,SETD,Motor vehicle maintenance and repair
SETD01,SETD01,Motor vehicle body work
SETD02,SETD02,Motor vehicle maintenance and servicing
SETD03,SETD03,Motor vehicle repair
SETE,SETE,Motor vehicle insurance
SETF,SETF,Motor vehicle fees
SETF01,SETF01,State motor vehicle registration and license fees
SETF03,SETF03,Parking and other fees
SETG,SETG,Public transportation
SETG01,SETG01,Airline fares
SETG02,SETG02,Other intercity transportation
SETG03,SETG03,Intracity transportation
SS01031,SS01031,Rice
SS02011,SS02011,White bread
SS02021,SS02021,Bread other than white
SS02041,SS02041,Fresh cakes and cupcakes
SS02042,SS02042,Cookies
SS02063,SS02063,"Fresh sweetrolls, coffeecakes, doughnuts"
SS0206A,SS0206A,"Crackers, bread, and cracker products"
SS0206B,SS0206B,"Frozen and refrigerated bakery products, pies, tarts, turnovers"
SS04011,SS04011,Bacon and related products
SS04012,SS04012,Breakfast sausage and related products
SS04031,SS04031,"Ham, excluding canned"
SS05011,SS05011,Frankfurters
SS05014,SS05014,Lamb and organ meats
SS05015,SS05015,Lamb and mutton
SS0501A,SS0501A,Lunchmeats
SS06011,SS06011,Fresh whole chicken
SS06021,SS06021,Fresh and frozen chicken parts
SS07011,SS07011,Shelf stable fish and seafood
SS07021,SS07021,Frozen fish and seafood
SS09011,SS09011,Fresh whole milk
SS09021,SS09021,Fresh milk other than whole
SS10011,SS10011,Butter
SS11031,SS11031,"Oranges, including tangerines"
SS13031,SS13031,Canned fruits
SS14011,SS14011,Frozen vegetables
SS14021,SS14021,Canned vegetables
SS14022,SS14022,"Dried beans, peas, and lentils"
SS16011,SS16011,Margarine
SS16014,SS16014,Peanut butter
SS17031,SS17031,Roasted coffee
SS17032,SS17032,Instant coffee
SS18041,SS18041,Salt and other seasonings and spices
SS18042,SS18042,"Olives, pickles, relishes"
SS18043,SS18043,Sauces and gravies
SS1804B,SS1804B,Other condiments
SS18064,SS18064,Prepared salads
SS20021,SS20021,Whiskey at home
SS20022,SS20022,"Distilled spirits, excluding whiskey, at home"
SS20051,SS20051,"Beer, ale, and other malt beverages away from home"
SS20052,SS20052,Wine away from home
SS20053,SS20053,Distilled spirits away from home
SS27051,SS27051,Land-line interstate toll calls
SS27061,SS27061,Land-line intrastate toll calls
SS30021,SS30021,Laundry equipment
SS31022,SS31022,Video discs and other media
SS31023,SS31023,"Video game hardware, software and accessories"
SS33032,SS33032,"Stationery, stationery supplies, gift wrap"
SS45011,SS45011,New cars
SS4501A,SS4501A,New cars and trucks
SS45021,SS45021,New trucks
SS45031,SS45031,New motorcycles
SS47014,SS47014,"Gasoline, unleaded regular"
SS47015,SS47015,"Gasoline, unleaded midgrade"
SS47016,SS47016,"Gasoline, unleaded premium"
SS47021,SS47021,"Motor oil, coolant, and fluids"
SS48021,SS48021,Vehicle parts and equipment other than tires
SS52051,SS52051,Parking fees and tolls
SS53021,SS53021,Intercity bus fare
SS53022,SS53022,Intercity train fare
SS53023,SS53023,Ship fare
SS53031,SS53031,Intracity mass transit
SS5702,SS5702,Inpatient hospital services
SS5703,SS5703,Outpatient hospital services
SS61011,SS61011,"Toys, games, hobbies and playground equipment"
SS61021,SS61021,Film and photographic supplies
SS61023,SS61023,Photographic equipment
SS61031,SS61031,Pet food
SS61032,SS61032,"Purchase of pets, pet supplies, accessories"
SS62011,SS62011,Automobile service clubs
SS62031,SS62031,"Admission to movies, theaters, and concerts"
SS62032,SS62032,Admission to sporting events
SS62051,SS62051,Photographer fees
SS62052,SS62052,Photo Processing
SS62053,SS62053,Pet services
SS62054,SS62054,Veterinarian services
SS62055,SS62055,Rental of video discs and other media
SS68021,SS68021,Checking account and other bank services
SS68023,SS68023,Tax return preparation and other accounting fees
SSEA011,SSEA011,College textbooks
SSFV031A,SSFV031A,Food at elementary and secondary schools
SSGE013,SSGE013,Infants' equipment
SSHJ031,SSHJ031,Infants' furniture
